Date,Daily Max 1-hour SO2 Concentration,UNITS,DAILY_AQI_VALUE,DAILY_OBS_COUNT,PERCENT_COMPLETE
9/17/2022,0,ppb,0,24,100
9/18/2022,0,ppb,0,23,96
9/19/2022,0,ppb,0,24,100
9/20/2022,0,ppb,0,24,100
9/21/2022,0,ppb,0,24,100
9/22/2022,0,ppb,0,24,100
9/23/2022,0,ppb,0,24,100
9/24/2022,0,ppb,0,24,100
9/25/2022,0,ppb,0,23,96
9/26/2022,0,ppb,0,24,100
9/27/2022,0,ppb,0,24,100
9/28/2022,0,ppb,0,24,100
9/29/2022,0,ppb,0,24,100
9/30/2022,0,ppb,0,24,100
10/1/2022,0,ppb,0,24,100
10/2/2022,0,ppb,0,23,96
10/3/2022,0,ppb,0,24,100
10/4/2022,0,ppb,0,24,100
10/5/2022,0,ppb,0,24,100
10/6/2022,0,ppb,0,24,100
10/7/2022,0,ppb,0,24,100
10/8/2022,0,ppb,0,24,100
10/9/2022,0,ppb,0,23,96
10/10/2022,0,ppb,0,24,100
10/11/2022,0,ppb,0,24,100
10/12/2022,1,ppb,1,24,100
10/13/2022,0,ppb,0,24,100
10/14/2022,1,ppb,1,24,100
10/15/2022,0,ppb,0,24,100
10/16/2022,0,ppb,0,23,96
10/17/2022,0,ppb,0,24,100
10/18/2022,0,ppb,0,24,100
10/19/2022,0,ppb,0,24,100
10/20/2022,0,ppb,0,21,88
10/21/2022,0,ppb,0,24,100
10/22/2022,0,ppb,0,24,100
10/23/2022,0,ppb,0,23,96
10/24/2022,0,ppb,0,24,100
10/25/2022,0,ppb,0,24,100
10/26/2022,0,ppb,0,24,100
10/27/2022,0,ppb,0,24,100
10/28/2022,0,ppb,0,22,92
10/29/2022,0,ppb,0,24,100
10/30/2022,0,ppb,0,23,96
10/31/2022,1,ppb,1,24,100
11/1/2022,1,ppb,1,24,100
11/2/2022,0,ppb,0,24,100
11/3/2022,0,ppb,0,24,100
11/4/2022,0,ppb,0,24,100
11/5/2022,0,ppb,0,24,100
11/6/2022,0,ppb,0,23,96
11/7/2022,0,ppb,0,24,100
11/8/2022,0,ppb,0,24,100
11/9/2022,0,ppb,0,24,100
11/10/2022,0,ppb,0,24,100
11/11/2022,0,ppb,0,24,100
11/12/2022,0,ppb,0,24,100
11/13/2022,0,ppb,0,23,96
11/14/2022,0,ppb,0,24,100
11/15/2022,0,ppb,0,24,100
11/16/2022,0,ppb,0,24,100
11/17/2022,1,ppb,1,24,100
11/18/2022,0,ppb,0,24,100
11/19/2022,0,ppb,0,24,100
11/20/2022,0,ppb,0,23,96
11/21/2022,1,ppb,1,24,100
11/22/2022,2,ppb,3,24,100
11/23/2022,1,ppb,1,24,100
11/24/2022,0,ppb,0,24,100
11/25/2022,0,ppb,0,24,100
11/26/2022,1,ppb,1,24,100
11/27/2022,0,ppb,0,23,96
11/28/2022,1,ppb,1,24,100
11/29/2022,0,ppb,0,24,100
11/30/2022,1,ppb,1,24,100
12/1/2022,1,ppb,1,24,100
12/2/2022,0,ppb,0,24,100
12/3/2022,0,ppb,0,24,100
12/4/2022,0,ppb,0,23,96
12/5/2022,1,ppb,1,24,100
12/6/2022,1,ppb,1,24,100
12/7/2022,0,ppb,0,24,100
12/8/2022,0,ppb,0,24,100
12/9/2022,0,ppb,0,24,100
12/10/2022,1,ppb,1,24,100
12/11/2022,0,ppb,0,23,96
12/12/2022,1,ppb,1,24,100
12/13/2022,0,ppb,0,24,100
12/14/2022,0,ppb,0,24,100
12/15/2022,1,ppb,1,24,100
12/16/2022,0,ppb,0,24,100
12/17/2022,0,ppb,0,24,100
12/18/2022,1,ppb,1,23,96
12/19/2022,1,ppb,1,24,100
12/20/2022,1,ppb,1,24,100
12/21/2022,1,ppb,1,24,100
12/22/2022,1,ppb,1,24,100
12/23/2022,1,ppb,1,24,100
12/24/2022,1,ppb,1,24,100
12/25/2022,1,ppb,1,23,96
12/26/2022,1,ppb,1,24,100
12/27/2022,1,ppb,1,24,100
12/28/2022,0,ppb,0,24,100
12/29/2022,0,ppb,0,24,100
12/30/2022,0,ppb,0,24,100
12/31/2022,0,ppb,0,24,100
1/1/2022,0,ppb,0,24,100
1/2/2022,3,ppb,4,23,96
1/3/2022,1,ppb,1,24,100
1/4/2022,1,ppb,1,20,83
1/5/2022,1,ppb,1,24,100
1/6/2022,1,ppb,1,24,100
1/7/2022,0,ppb,0,24,100
1/8/2022,1,ppb,1,24,100
1/9/2022,0,ppb,0,23,96
1/10/2022,0,ppb,0,24,100
1/11/2022,0,ppb,0,24,100
1/12/2022,0,ppb,0,24,100
1/13/2022,0,ppb,0,24,100
1/14/2022,0,ppb,0,24,100
1/15/2022,0,ppb,0,24,100
1/16/2022,1,ppb,1,23,96
1/17/2022,0,ppb,0,24,100
1/18/2022,5,ppb,7,24,100
1/19/2022,0,ppb,0,24,100
1/20/2022,0,ppb,0,24,100
1/21/2022,4,ppb,6,24,100
1/22/2022,0,ppb,0,24,100
1/23/2022,1,ppb,1,23,96
1/24/2022,0,ppb,0,24,100
1/25/2022,0,ppb,0,24,100
1/26/2022,0,ppb,0,24,100
1/27/2022,0,ppb,0,24,100
1/28/2022,0,ppb,0,24,100
1/29/2022,0,ppb,0,24,100
1/30/2022,0,ppb,0,23,96
1/31/2022,1,ppb,1,24,100
2/1/2022,0,ppb,0,24,100
2/2/2022,0,ppb,0,24,100
2/3/2022,0,ppb,0,24,100
2/4/2022,0,ppb,0,24,100
2/5/2022,0,ppb,0,24,100
2/6/2022,3,ppb,4,23,96
2/7/2022,3,ppb,4,24,100
2/8/2022,0,ppb,0,24,100
2/9/2022,1,ppb,1,24,100
2/10/2022,3,ppb,4,24,100
2/11/2022,0,ppb,0,24,100
2/12/2022,1,ppb,1,24,100
2/13/2022,1,ppb,1,23,96
2/14/2022,0,ppb,0,24,100
2/15/2022,5,ppb,7,24,100
2/16/2022,0,ppb,0,24,100
2/17/2022,0,ppb,0,24,100
2/18/2022,0,ppb,0,24,100
2/19/2022,1,ppb,1,24,100
2/20/2022,0,ppb,0,22,92
2/21/2022,1,ppb,1,24,100
2/22/2022,0,ppb,0,24,100
2/23/2022,0,ppb,0,20,83
2/24/2022,0,ppb,0,19,79
2/25/2022,0,ppb,0,24,100
2/26/2022,0,ppb,0,24,100
2/27/2022,1,ppb,1,23,96
2/28/2022,0,ppb,0,24,100
3/1/2022,0,ppb,0,24,100
3/2/2022,0,ppb,0,24,100
3/3/2022,0,ppb,0,24,100
3/4/2022,1,ppb,1,24,100
3/5/2022,0,ppb,0,24,100
3/6/2022,0,ppb,0,23,96
3/7/2022,0,ppb,0,24,100
3/8/2022,0,ppb,0,24,100
3/9/2022,0,ppb,0,24,100
3/10/2022,0,ppb,0,24,100
3/11/2022,0,ppb,0,24,100
3/12/2022,0,ppb,0,24,100
3/13/2022,0,ppb,0,23,96
3/14/2022,0,ppb,0,24,100
3/15/2022,0,ppb,0,24,100
3/17/2022,0,ppb,0,22,92
3/18/2022,1,ppb,1,24,100
3/19/2022,1,ppb,1,24,100
3/20/2022,1,ppb,1,23,96
3/21/2022,0,ppb,0,24,100
3/22/2022,0,ppb,0,24,100
3/23/2022,0,ppb,0,24,100
3/24/2022,0,ppb,0,21,88
3/25/2022,1,ppb,1,24,100
3/26/2022,0,ppb,0,24,100
3/27/2022,0,ppb,0,23,96
3/28/2022,1,ppb,1,24,100
3/29/2022,0,ppb,0,24,100
3/30/2022,0,ppb,0,24,100
3/31/2022,0,ppb,0,24,100
4/1/2022,0,ppb,0,24,100
4/2/2022,1,ppb,1,24,100
4/3/2022,4,ppb,6,23,96
4/4/2022,0,ppb,0,24,100
4/5/2022,1,ppb,1,24,100
4/6/2022,0,ppb,0,24,100
4/7/2022,0,ppb,0,24,100
4/8/2022,2,ppb,3,24,100
4/9/2022,1,ppb,1,24,100
4/10/2022,0,ppb,0,23,96
4/11/2022,2,ppb,3,24,100
4/12/2022,0,ppb,0,24,100
4/13/2022,0,ppb,0,24,100
4/14/2022,0,ppb,0,24,100
4/15/2022,1,ppb,1,24,100
4/16/2022,1,ppb,1,24,100
4/17/2022,1,ppb,1,23,96
4/18/2022,2,ppb,3,24,100
4/19/2022,2,ppb,3,24,100
4/20/2022,1,ppb,1,24,100
4/21/2022,1,ppb,1,24,100
4/22/2022,1,ppb,1,24,100
4/23/2022,0,ppb,0,24,100
4/24/2022,1,ppb,1,23,96
4/25/2022,1,ppb,1,24,100
4/26/2022,1,ppb,1,24,100
4/27/2022,1,ppb,1,24,100
4/28/2022,1,ppb,1,24,100
4/29/2022,1,ppb,1,24,100
4/30/2022,1,ppb,1,24,100
5/1/2022,1,ppb,1,23,96
5/2/2022,1,ppb,1,24,100
5/3/2022,1,ppb,1,24,100
5/4/2022,1,ppb,1,24,100
5/5/2022,1,ppb,1,24,100
5/6/2022,1,ppb,1,24,100
5/7/2022,2,ppb,3,24,100
5/8/2022,1,ppb,1,23,96
5/9/2022,1,ppb,1,24,100
5/10/2022,3,ppb,4,24,100
5/11/2022,1,ppb,1,24,100
5/12/2022,1,ppb,1,24,100
5/13/2022,1,ppb,1,21,88
5/14/2022,0,ppb,0,24,100
5/15/2022,1,ppb,1,23,96
5/16/2022,0,ppb,0,24,100
5/17/2022,1,ppb,1,24,100
5/18/2022,1,ppb,1,24,100
5/19/2022,1,ppb,1,24,100
5/20/2022,0,ppb,0,24,100
5/21/2022,0,ppb,0,24,100
5/22/2022,3,ppb,4,23,96
5/23/2022,0,ppb,0,24,100
5/24/2022,0,ppb,0,24,100
5/25/2022,0,ppb,0,24,100
5/26/2022,2,ppb,3,24,100
5/27/2022,5,ppb,7,24,100
5/28/2022,1,ppb,1,24,100
5/29/2022,0,ppb,0,23,96
5/30/2022,0,ppb,0,24,100
5/31/2022,0,ppb,0,24,100
6/1/2022,1,ppb,1,24,100
6/2/2022,0,ppb,0,24,100
6/3/2022,2,ppb,3,24,100
6/4/2022,6,ppb,9,24,100
6/5/2022,0,ppb,0,23,96
6/6/2022,0,ppb,0,24,100
6/7/2022,0,ppb,0,24,100
6/8/2022,6,ppb,9,24,100
6/9/2022,1,ppb,1,24,100
6/10/2022,0,ppb,0,24,100
6/11/2022,1,ppb,1,24,100
6/12/2022,0,ppb,0,23,96
6/13/2022,1,ppb,1,24,100
6/14/2022,0,ppb,0,24,100
6/15/2022,0,ppb,0,24,100
6/16/2022,0,ppb,0,24,100
6/17/2022,0,ppb,0,24,100
6/18/2022,1,ppb,1,24,100
6/19/2022,0,ppb,0,23,96
6/20/2022,0,ppb,0,24,100
6/21/2022,0,ppb,0,24,100
6/22/2022,3,ppb,4,24,100
6/23/2022,0,ppb,0,24,100
6/24/2022,0,ppb,0,24,100
6/25/2022,0,ppb,0,24,100
6/26/2022,0,ppb,0,23,96
6/27/2022,0,ppb,0,24,100
6/28/2022,0,ppb,0,24,100
6/29/2022,1,ppb,1,24,100
6/30/2022,2,ppb,3,24,100
7/1/2022,0,ppb,0,24,100
7/2/2022,0,ppb,0,24,100
7/3/2022,0,ppb,0,23,96
7/4/2022,0,ppb,0,24,100
7/5/2022,0,ppb,0,24,100
7/6/2022,0,ppb,0,24,100
7/7/2022,0,ppb,0,24,100
7/8/2022,0,ppb,0,24,100
7/9/2022,2,ppb,3,24,100
7/10/2022,0,ppb,0,23,96
7/11/2022,0,ppb,0,24,100
7/12/2022,1,ppb,1,24,100
7/13/2022,0,ppb,0,24,100
7/14/2022,0,ppb,0,24,100
7/15/2022,1,ppb,1,24,100
7/16/2022,0,ppb,0,24,100
7/17/2022,0,ppb,0,23,96
7/18/2022,0,ppb,0,24,100
7/19/2022,0,ppb,0,24,100
7/20/2022,1,ppb,1,24,100
7/21/2022,1,ppb,1,24,100
7/22/2022,2,ppb,3,24,100
7/23/2022,1,ppb,1,24,100
7/24/2022,1,ppb,1,23,96
7/25/2022,0,ppb,0,24,100
7/26/2022,1,ppb,1,21,88
7/27/2022,3,ppb,4,24,100
7/28/2022,2,ppb,3,24,100
7/29/2022,1,ppb,1,24,100
7/30/2022,1,ppb,1,24,100
7/31/2022,1,ppb,1,23,96
8/1/2022,1,ppb,1,22,92
8/2/2022,1,ppb,1,24,100
8/3/2022,1,ppb,1,22,92
8/4/2022,2,ppb,3,24,100
8/5/2022,1,ppb,1,24,100
8/6/2022,1,ppb,1,24,100
8/7/2022,1,ppb,1,20,83
8/8/2022,0,ppb,0,24,100
8/9/2022,0,ppb,0,24,100
8/10/2022,5,ppb,7,24,100
8/11/2022,4,ppb,6,24,100
8/12/2022,0,ppb,0,24,100
8/13/2022,2,ppb,3,24,100
8/14/2022,1,ppb,1,23,96
8/15/2022,1,ppb,1,24,100
8/16/2022,2,ppb,3,24,100
8/17/2022,0,ppb,0,24,100
8/18/2022,0,ppb,0,24,100
8/19/2022,0,ppb,0,24,100
8/20/2022,0,ppb,0,24,100
8/21/2022,1,ppb,1,23,96
8/22/2022,1,ppb,1,24,100
8/23/2022,1,ppb,1,24,100
8/24/2022,1,ppb,1,24,100
8/25/2022,0,ppb,0,24,100
8/26/2022,0,ppb,0,24,100
8/27/2022,0,ppb,0,24,100
8/28/2022,0,ppb,0,23,96
8/29/2022,0,ppb,0,24,100
8/30/2022,0,ppb,0,24,100
8/31/2022,1,ppb,1,24,100
9/1/2022,1,ppb,1,24,100
9/2/2022,0,ppb,0,22,92
9/3/2022,1,ppb,1,24,100
9/4/2022,2,ppb,3,23,96
9/5/2022,1,ppb,1,24,100
9/6/2022,0,ppb,0,24,100
9/7/2022,1,ppb,1,24,100
9/8/2022,2,ppb,3,24,100
9/9/2022,1,ppb,1,24,100
9/10/2022,1,ppb,1,24,100
9/11/2022,1,ppb,1,23,96
9/12/2022,0,ppb,0,24,100
9/13/2022,0,ppb,0,23,96
9/14/2022,0,ppb,0,24,100
9/15/2022,0,ppb,0,24,100
9/16/2022,1,ppb,1,23,96
9/17/2022,1,ppb,1,24,100
9/18/2022,1,ppb,1,23,96
9/19/2022,1,ppb,1,24,100
9/20/2022,1,ppb,1,24,100
9/21/2022,0,ppb,0,24,100
9/22/2022,1,ppb,1,24,100
9/23/2022,0,ppb,0,24,100
9/24/2022,0,ppb,0,24,100
9/25/2022,1,ppb,1,23,96
9/26/2022,1,ppb,1,24,100
9/27/2022,1,ppb,1,24,100
9/28/2022,2,ppb,3,24,100
9/29/2022,1,ppb,1,24,100
9/30/2022,0,ppb,0,24,100
10/1/2022,1,ppb,1,24,100
10/2/2022,0,ppb,0,23,96
10/3/2022,1,ppb,1,24,100
10/4/2022,0,ppb,0,19,79
10/5/2022,0,ppb,0,24,100
10/6/2022,0,ppb,0,24,100
10/7/2022,0,ppb,0,24,100
10/8/2022,0,ppb,0,24,100
10/9/2022,0,ppb,0,23,96
10/10/2022,1,ppb,1,24,100
10/11/2022,1,ppb,1,24,100
10/12/2022,0,ppb,0,24,100
10/13/2022,0,ppb,0,24,100
10/14/2022,0,ppb,0,24,100
10/15/2022,0,ppb,0,24,100
10/16/2022,0,ppb,0,23,96
10/17/2022,0,ppb,0,24,100
10/18/2022,0,ppb,0,24,100
10/19/2022,0,ppb,0,24,100
10/20/2022,0,ppb,0,24,100
10/21/2022,0,ppb,0,24,100
10/22/2022,0,ppb,0,24,100
10/23/2022,0,ppb,0,23,96
10/24/2022,0,ppb,0,24,100
10/25/2022,0,ppb,0,24,100
10/26/2022,0,ppb,0,24,100
10/27/2022,0,ppb,0,24,100
10/28/2022,0,ppb,0,24,100
10/29/2022,0,ppb,0,24,100
10/30/2022,0,ppb,0,23,96
10/31/2022,0,ppb,0,24,100
11/1/2022,0,ppb,0,24,100
11/2/2022,0,ppb,0,24,100
11/3/2022,0,ppb,0,24,100
11/4/2022,0,ppb,0,24,100
11/5/2022,0,ppb,0,24,100
11/6/2022,0,ppb,0,23,96
11/7/2022,0,ppb,0,24,100
11/8/2022,0,ppb,0,24,100
11/9/2022,1,ppb,1,24,100
11/10/2022,1,ppb,1,24,100
11/11/2022,1,ppb,1,24,100
11/12/2022,1,ppb,1,24,100
11/13/2022,1,ppb,1,23,96
11/14/2022,1,ppb,1,24,100
11/15/2022,1,ppb,1,24,100
11/16/2022,1,ppb,1,24,100
11/17/2022,1,ppb,1,24,100
11/18/2022,1,ppb,1,24,100
11/19/2022,1,ppb,1,24,100
11/20/2022,1,ppb,1,23,96
11/21/2022,1,ppb,1,24,100
11/22/2022,1,ppb,1,24,100
11/23/2022,2,ppb,3,24,100
11/24/2022,0,ppb,0,24,100
11/25/2022,0,ppb,0,24,100
11/26/2022,0,ppb,0,24,100
11/27/2022,0,ppb,0,23,96
11/28/2022,0,ppb,0,24,100
11/29/2022,0,ppb,0,24,100
11/30/2022,0,ppb,0,24,100
12/1/2022,0,ppb,0,24,100
12/2/2022,1,ppb,1,24,100
12/3/2022,1,ppb,1,24,100
12/4/2022,1,ppb,1,23,96
12/5/2022,1,ppb,1,24,100
12/6/2022,1,ppb,1,24,100
12/7/2022,1,ppb,1,24,100
12/8/2022,1,ppb,1,24,100
12/9/2022,1,ppb,1,24,100
12/10/2022,1,ppb,1,24,100
12/11/2022,1,ppb,1,23,96
12/12/2022,1,ppb,1,24,100
12/13/2022,1,ppb,1,24,100
12/14/2022,1,ppb,1,24,100
12/15/2022,1,ppb,1,24,100
12/16/2022,1,ppb,1,24,100
12/17/2022,1,ppb,1,24,100
12/18/2022,1,ppb,1,23,96
12/19/2022,2,ppb,3,24,100
12/20/2022,1,ppb,1,20,83
12/21/2022,0,ppb,0,24,100
12/22/2022,0,ppb,0,24,100
12/23/2022,0,ppb,0,24,100
12/24/2022,0,ppb,0,24,100
12/25/2022,0,ppb,0,23,96
12/26/2022,0,ppb,0,24,100
12/27/2022,0,ppb,0,24,100
12/28/2022,0,ppb,0,24,100
12/29/2022,0,ppb,0,24,100
12/30/2022,0,ppb,0,24,100
12/31/2022,0,ppb,0,24,100
1/1/2022,2,ppb,3,24,100
1/2/2022,2.6,ppb,3,24,100
1/3/2022,3.6,ppb,4,24,100
1/4/2022,2.9,ppb,3,24,100
1/5/2022,5.7,ppb,7,24,100
1/6/2022,3.1,ppb,4,24,100
1/7/2022,3.5,ppb,4,24,100
1/8/2022,2.8,ppb,3,24,100
1/9/2022,2.7,ppb,3,24,100
1/10/2022,2.8,ppb,3,24,100
1/11/2022,3.1,ppb,4,24,100
1/12/2022,2.7,ppb,3,24,100
1/13/2022,3.3,ppb,4,24,100
1/14/2022,3,ppb,4,24,100
1/15/2022,2.8,ppb,3,24,100
1/16/2022,6.8,ppb,9,23,96
1/17/2022,3.8,ppb,4,24,100
1/18/2022,3.8,ppb,4,24,100
1/19/2022,2.9,ppb,3,24,100
1/20/2022,2.5,ppb,3,24,100
1/21/2022,3.1,ppb,4,24,100
1/22/2022,3.1,ppb,4,24,100
1/23/2022,3,ppb,4,24,100
1/24/2022,3.2,ppb,4,24,100
1/25/2022,3.2,ppb,4,24,100
1/26/2022,2.9,ppb,3,24,100
1/27/2022,3.1,ppb,4,22,92
1/28/2022,2.8,ppb,3,24,100
1/29/2022,3.6,ppb,4,24,100
1/30/2022,3.1,ppb,4,24,100
1/31/2022,3.5,ppb,4,24,100
2/1/2022,3.3,ppb,4,24,100
2/2/2022,2.9,ppb,3,24,100
2/3/2022,2.3,ppb,3,19,79
2/4/2022,3.1,ppb,4,24,100
2/5/2022,2.9,ppb,3,24,100
2/6/2022,3.3,ppb,4,24,100
2/7/2022,2.9,ppb,3,24,100
2/8/2022,3.3,ppb,4,24,100
2/9/2022,3.4,ppb,4,24,100
2/10/2022,3.5,ppb,4,24,100
2/11/2022,2.6,ppb,3,24,100
2/12/2022,2.6,ppb,3,24,100
2/13/2022,3.3,ppb,4,24,100
2/14/2022,3.1,ppb,4,24,100
2/15/2022,2.6,ppb,3,24,100
2/16/2022,2.5,ppb,3,21,88
2/17/2022,3.1,ppb,4,24,100
2/18/2022,3.2,ppb,4,24,100
2/19/2022,3.2,ppb,4,24,100
2/20/2022,3.4,ppb,4,24,100
2/21/2022,2.3,ppb,3,24,100
2/22/2022,1.9,ppb,1,24,100
2/23/2022,2.2,ppb,3,24,100
2/24/2022,3.2,ppb,4,24,100
2/25/2022,3.6,ppb,4,24,100
2/26/2022,2.8,ppb,3,24,100
2/27/2022,3,ppb,4,24,100
2/28/2022,3.2,ppb,4,24,100
3/1/2022,3.8,ppb,4,24,100
3/2/2022,3.4,ppb,4,21,88
3/3/2022,3.7,ppb,4,24,100
3/4/2022,3.1,ppb,4,24,100
3/5/2022,1.9,ppb,1,24,100
3/6/2022,3.1,ppb,4,24,100
3/7/2022,3.2,ppb,4,24,100
3/8/2022,3.1,ppb,4,24,100
3/9/2022,3.7,ppb,4,24,100
3/10/2022,3.2,ppb,4,24,100
3/11/2022,2.9,ppb,3,24,100
3/12/2022,3.4,ppb,4,24,100
3/13/2022,3.8,ppb,4,24,100
3/14/2022,1.8,ppb,1,24,100
3/15/2022,3.5,ppb,4,24,100
3/16/2022,2.3,ppb,3,20,83
3/17/2022,1.7,ppb,1,24,100
3/18/2022,1.9,ppb,1,24,100
3/19/2022,2.3,ppb,3,24,100
3/20/2022,2.1,ppb,3,24,100
3/21/2022,1.9,ppb,1,24,100
3/22/2022,1.7,ppb,1,24,100
3/23/2022,1.6,ppb,1,24,100
3/24/2022,1.8,ppb,1,24,100
3/25/2022,2.1,ppb,3,24,100
3/26/2022,2,ppb,3,24,100
3/27/2022,2,ppb,3,24,100
3/28/2022,1.9,ppb,1,24,100
3/29/2022,2.1,ppb,3,24,100
3/30/2022,2,ppb,3,21,88
3/31/2022,2.1,ppb,3,24,100
4/1/2022,2,ppb,3,24,100
4/2/2022,2.1,ppb,3,24,100
4/3/2022,2,ppb,3,24,100
4/4/2022,2.1,ppb,3,24,100
4/5/2022,2.2,ppb,3,24,100
4/6/2022,1.5,ppb,1,24,100
4/7/2022,1.5,ppb,1,24,100
4/8/2022,1.9,ppb,1,24,100
4/9/2022,2,ppb,3,24,100
4/10/2022,1.9,ppb,1,24,100
4/11/2022,2.1,ppb,3,24,100
4/12/2022,1.8,ppb,1,24,100
4/13/2022,1.8,ppb,1,21,88
4/14/2022,2.2,ppb,3,24,100
4/15/2022,2,ppb,3,24,100
4/16/2022,1.8,ppb,1,24,100
4/17/2022,1.7,ppb,1,24,100
4/18/2022,1.9,ppb,1,24,100
4/19/2022,1.9,ppb,1,24,100
4/20/2022,1.9,ppb,1,24,100
4/21/2022,1.9,ppb,1,24,100
4/22/2022,1.9,ppb,1,24,100
4/23/2022,1.9,ppb,1,24,100
4/24/2022,1.8,ppb,1,24,100
4/25/2022,1.8,ppb,1,24,100
4/26/2022,1.7,ppb,1,24,100
4/27/2022,1.8,ppb,1,21,88
4/28/2022,1.9,ppb,1,24,100
4/29/2022,1.8,ppb,1,24,100
4/30/2022,1.8,ppb,1,24,100
5/1/2022,2,ppb,3,24,100
5/2/2022,2,ppb,3,24,100
5/3/2022,1.9,ppb,1,24,100
5/4/2022,1.7,ppb,1,24,100
5/5/2022,1.7,ppb,1,24,100
5/6/2022,2,ppb,3,24,100
5/7/2022,2,ppb,3,24,100
5/8/2022,2,ppb,3,24,100
5/9/2022,1.8,ppb,1,24,100
5/10/2022,1.8,ppb,1,24,100
5/11/2022,1.9,ppb,1,22,92
5/12/2022,1.6,ppb,1,24,100
5/13/2022,1.8,ppb,1,24,100
5/14/2022,1.7,ppb,1,24,100
5/15/2022,1.9,ppb,1,24,100
5/16/2022,1.8,ppb,1,24,100
5/17/2022,2.5,ppb,3,24,100
5/18/2022,1.8,ppb,1,24,100
5/19/2022,2,ppb,3,24,100
5/20/2022,2,ppb,3,24,100
5/21/2022,1.6,ppb,1,24,100
5/22/2022,1.9,ppb,1,24,100
5/23/2022,1.8,ppb,1,24,100
5/24/2022,1.8,ppb,1,24,100
5/25/2022,2,ppb,3,21,88
5/26/2022,1.9,ppb,1,24,100
5/27/2022,1.9,ppb,1,24,100
5/28/2022,2.1,ppb,3,24,100
5/29/2022,2.3,ppb,3,24,100
5/30/2022,2,ppb,3,24,100
5/31/2022,2,ppb,3,24,100
6/1/2022,2,ppb,3,24,100
6/2/2022,2,ppb,3,24,100
6/3/2022,2.1,ppb,3,24,100
6/4/2022,1.9,ppb,1,24,100
6/5/2022,2,ppb,3,24,100
6/6/2022,2,ppb,3,24,100
6/7/2022,2.1,ppb,3,24,100
6/8/2022,1.8,ppb,1,20,83
11/23/2022,0.8,ppb,0,20,83
11/24/2022,0.2,ppb,0,24,100
11/25/2022,0.4,ppb,0,24,100
11/26/2022,0.6,ppb,0,24,100
11/27/2022,0.7,ppb,0,24,100
11/28/2022,0.5,ppb,0,24,100
11/29/2022,0.2,ppb,0,24,100
11/30/2022,0.5,ppb,0,24,100
12/1/2022,0.6,ppb,0,24,100
12/2/2022,0.2,ppb,0,24,100
12/3/2022,0.2,ppb,0,24,100
12/4/2022,0.4,ppb,0,24,100
12/5/2022,0.7,ppb,0,24,100
12/6/2022,0.7,ppb,0,24,100
12/7/2022,0.9,ppb,0,21,88
12/8/2022,0.3,ppb,0,24,100
12/9/2022,0.9,ppb,0,24,100
12/10/2022,0.7,ppb,0,24,100
12/11/2022,1.1,ppb,1,24,100
12/12/2022,0.4,ppb,0,24,100
12/13/2022,0.8,ppb,0,24,100
12/14/2022,0.4,ppb,0,24,100
12/15/2022,0.5,ppb,0,24,100
12/16/2022,0.2,ppb,0,24,100
12/17/2022,0.5,ppb,0,24,100
12/18/2022,0.7,ppb,0,24,100
12/19/2022,0.7,ppb,0,24,100
12/20/2022,0.7,ppb,0,24,100
12/21/2022,0.5,ppb,0,21,88
12/22/2022,1,ppb,1,24,100
12/23/2022,0.6,ppb,0,24,100
12/24/2022,0.3,ppb,0,24,100
12/25/2022,0.5,ppb,0,24,100
12/26/2022,0.4,ppb,0,24,100
12/27/2022,0.8,ppb,0,24,100
12/28/2022,0.7,ppb,0,24,100
12/29/2022,0.9,ppb,0,24,100
12/30/2022,0.6,ppb,0,24,100
12/31/2022,0.5,ppb,0,24,100
